what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1435203336044
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1435203336045
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1435203336046
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1435203336046
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1435203336047
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1435203336048
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1435203336049
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1435203336050
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1435203336051
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1435203336052
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1435203336053
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1435203336054
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1435203336055
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1435203336057
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1435203336059
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1435203336060
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1435203336061
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1435203336062
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1435203336063
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1435203336065
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1435203336066
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1435203336066
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1435203336067
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1435203336067
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1435203336068
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1435203336069
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1435203336070
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1435203336070
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1435203336071
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1435203336072
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1435203336073
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1435203336074
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1435203336074
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1435203336075
started,bundle,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse",1435203336076
os,sysinfo,,,"win32",1435203336080
arch,sysinfo,,,"x86_64",1435203336080
ws,sysinfo,,,"win32",1435203336080
locale,sysinfo,,,"en_US",1435203336080
processors,sysinfo,,,"4",1435203336080
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1435203336080
java.runtime.version,sysinfo,,,"1.7.0_55-b13",1435203336080
java.specification.name,sysinfo,,,"Java Platform API Specification",1435203336080
java.specification.vendor,sysinfo,,,"Oracle Corporation",1435203336080
java.specification.version,sysinfo,,,"1.7",1435203336080
java.vendor,sysinfo,,,"Oracle Corporation",1435203336080
java.version,sysinfo,,,"1.7.0_55",1435203336080
java.vm.info,sysinfo,,,"mixed mode",1435203336080
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1435203336080
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1435203336080
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1435203336080
java.vm.specification.version,sysinfo,,,"1.7",1435203336080
java.vm.vendor,sysinfo,,,"Oracle Corporation",1435203336080
java.vm.version,sysinfo,,,"24.55-b03",1435203336080
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1435203336239
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1435203336244
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1435203336273
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1435203336852
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1435203337912
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1435203354204
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1435203354208
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1435203354219
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1435203354220
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1435203354256
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1435203354258
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1435203354368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435203358766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435203412621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1435203412647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1435203412647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435203417090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435203645257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435203648971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435203650742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435203651808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435203737845
